order_id,customer_id,product_id,category,price,discount,quantity,payment_method,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,order_month,order_day_of_week,order_day,order_year
100040,11082,232689,Home,297.65,0.1,1,UPI,4,South,No,267.88,7.49,67.52,20,Female,12,5,9,2023
100041,12558,223758,Grocery,6.2,0.0,1,COD,4,West,No,6.2,2.5,-2.0,35,Male,3,6,31,2024
100042,17849,208838,Home,36.05,0.0,2,COD,4,North,No,72.1,7.24,12.95,36,Female,2,0,3,2025
100043,12047,245502,Fashion,47.26,0.15,1,UPI,5,South,No,40.17,4.94,9.12,48,Male,10,1,31,2023
100044,17643,243790,Electronics,313.25,0.0,1,Debit Card,8,Central,No,313.25,8.96,28.63,53,Male,9,4,27,2024
100045,12747,237976,Grocery,13.7,0.1,3,COD,4,West,No,36.99,4.09,-1.13,62,Male,4,4,11,2025
100046,10975,249346,Toys,9.07,0.0,3,Debit Card,5,South,No,27.21,6.05,4.83,30,Female,1,3,11,2024
100047,11806,213725,Beauty,12.45,0.0,2,Credit Card,5,West,No,24.9,5.18,6.02,58,Male,5,5,3,2025
100048,10189,209337,Toys,7.33,0.0,1,Credit Card,5,North,No,7.33,3.86,-0.93,55,Female,3,2,19,2025
100049,17101,210701,Toys,53.85,0.05,1,Credit Card,5,South,No,51.16,5.96,14.5,35,Female,3,2,12,2025
100050,12734,229811,Grocery,16.12,0.0,1,COD,8,East,No,16.12,4.76,-3.47,66,Female,7,0,14,2025
100051,13005,243043,Home,195.87,0.0,4,Credit Card,5,West,No,783.48,10.37,209.0,43,Female,12,1,31,2024
100052,14658,238978,Beauty,8.29,0.0,1,PayPal,4,North,No,8.29,2.98,0.75,67,Male,9,0,16,2024
100053,11899,229316,Electronics,402.13,0.0,2,PayPal,5,South,No,804.26,9.93,86.58,40,Female,1,2,24,2024
100054,17734,211544,Grocery,19.94,0.05,1,Debit Card,6,East,No,18.94,4.96,-3.44,55,Female,12,4,29,2023
100055,11267,221514,Grocery,6.52,0.0,2,Debit Card,5,South,No,13.04,4.73,-3.69,60,Male,11,3,23,2023
100056,16975,216327,Toys,5.38,0.1,1,COD,3,Central,No,4.84,3.91,-1.97,57,Female,12,0,18,2023
100057,11528,246809,Home,167.21,0.0,4,Wallet,3,North,No,668.84,8.88,178.4,37,Female,12,2,6,2023
100058,13202,216705,Home,134.37,0.15,1,Wallet,3,Central,No,114.21,6.65,25.33,53,Male,10,2,30,2024
100059,13556,210479,Home,122.85,0.0,3,COD,4,North,No,368.55,7.27,95.92,69,Female,8,4,16,2024
100060,13890,211323,Fashion,14.91,0.0,1,UPI,5,West,No,14.91,4.93,0.29,69,Male,12,6,1,2024
100061,10646,212937,Beauty,10.46,0.0,1,Credit Card,4,North,No,10.46,3.14,1.57,25,Other,11,0,13,2023
100062,16164,223089,Electronics,368.67,0.0,1,Debit Card,6,West,No,368.67,9.91,34.33,36,Male,6,2,26,2024
100063,12888,201702,Grocery,13.52,0.1,1,Debit Card,5,West,No,12.17,2.07,-1.1,22,Female,6,1,24,2025
100064,16310,210404,Home,116.53,0.05,1,Credit Card,4,West,No,110.7,6.97,24.03,59,Male,1,0,22,2024
100065,15393,233598,Grocery,20.24,0.0,1,COD,5,North,No,20.24,4.74,-3.12,65,Male,6,0,23,2025
100066,12435,208380,Sports,175.75,0.15,1,Debit Card,5,West,No,149.39,6.15,38.67,58,Female,9,2,3,2025
100067,10600,221990,Fashion,20.91,0.0,1,UPI,4,North,Yes,20.91,4.04,3.28,50,Male,2,2,14,2024
100068,12363,232859,Fashion,13.43,0.0,4,PayPal,4,South,No,53.72,6.26,12.54,30,Male,12,4,15,2023
100069,12061,203877,Grocery,3.96,0.2,1,PayPal,5,East,No,3.17,3.06,-2.81,44,Female,11,2,22,2023
100070,10241,242871,Toys,8.5,0.0,2,Debit Card,8,South,No,17.0,3.51,3.29,25,Female,5,3,30,2024
100071,12041,218720,Fashion,150.12,0.0,3,Debit Card,4,West,No,450.36,8.26,149.37,28,Female,10,4,18,2024
100072,12824,207676,Electronics,97.95,0.1,1,Debit Card,6,East,No,88.16,6.72,3.86,53,Male,9,5,21,2024
100073,17513,231818,Sports,217.48,0.0,1,Credit Card,6,South,No,217.48,7.67,57.57,24,Male,2,0,24,2025
100074,12612,234348,Fashion,16.18,0.0,2,Credit Card,4,South,No,32.36,4.73,6.6,69,Male,12,4,6,2024
100075,17041,248555,Fashion,26.06,0.05,3,COD,5,West,No,74.27,6.24,19.75,46,Other,12,3,21,2023
100076,11363,242368,Sports,23.23,0.3,2,Credit Card,4,Central,No,32.52,5.1,4.66,31,Male,2,3,13,2025
100077,16235,248180,Sports,20.73,0.0,2,COD,5,West,No,41.46,4.31,8.13,20,Female,5,1,14,2024
100078,15486,224130,Home,23.16,0.0,1,UPI,3,Central,No,23.16,4.81,1.67,45,Male,12,2,20,2023
100079,17099,233241,Grocery,6.53,0.0,4,Credit Card,3,North,No,26.12,6.21,-4.12,68,Male,6,4,28,2024
100080,11478,244392,Sports,82.93,0.05,1,Wallet,4,West,No,78.78,8.3,15.33,59,Female,3,2,13,2024
100081,17595,249421,Grocery,3.95,0.0,1,Wallet,4,West,No,3.95,2.63,-2.31,38,Female,1,3,23,2025
100082,12556,226620,Fashion,137.66,0.0,1,UPI,4,South,No,137.66,7.01,41.17,50,Female,4,6,20,2025
100083,10775,217077,Fashion,48.41,0.1,4,Credit Card,6,West,No,174.28,8.27,52.73,29,Female,9,5,23,2023
100084,14014,212663,Electronics,753.1,0.05,1,Debit Card,4,South,No,715.44,10.44,75.41,28,Male,6,5,8,2024
100085,10034,217799,Fashion,12.92,0.0,3,Wallet,4,South,No,38.76,6.83,6.74,20,Female,8,0,4,2025
100086,16349,247285,Grocery,3.04,0.0,1,Debit Card,4,South,No,3.04,1.93,-1.69,59,Female,6,2,12,2024
100087,13152,217619,Grocery,25.7,0.1,4,Credit Card,3,North,No,92.52,9.09,-1.69,32,Male,6,1,18,2024
100088,11955,203967,Toys,18.51,0.05,1,PayPal,5,South,No,17.58,3.71,3.32,62,Female,12,2,20,2023
100089,11585,227488,Beauty,71.36,0.15,1,Debit Card,7,South,No,60.66,5.34,21.96,34,Male,7,4,5,2024
100090,13943,213211,Toys,5.12,0.0,1,UPI,6,West,No,5.12,1.8,0.25,59,Female,2,6,9,2025
100091,17555,221169,Beauty,3.65,0.0,1,UPI,4,South,No,3.65,1.97,-0.33,54,Female,7,0,8,2024
100092,13073,230373,Electronics,857.18,0.0,3,COD,4,West,No,2571.54,12.41,296.17,61,Female,8,5,10,2024
100093,11021,232669,Home,168.01,0.05,2,Debit Card,6,East,No,319.22,7.51,81.87,57,Male,1,5,20,2024
100094,13461,206634,Beauty,43.33,0.0,3,Debit Card,4,Central,No,129.99,6.28,52.22,53,Female,7,2,2,2025
100095,12613,200840,Fashion,22.26,0.0,1,Wallet,7,East,No,22.26,3.96,3.83,27,Male,2,5,22,2025
100096,15225,234229,Fashion,5.15,0.05,1,Credit Card,5,East,No,4.89,3.77,-2.06,36,Male,9,1,12,2023
100097,13843,221318,Fashion,37.42,0.1,5,COD,3,Central,No,168.39,8.25,50.69,29,Male,9,3,26,2024
100098,17989,215405,Beauty,115.85,0.15,1,Debit Card,5,West,No,98.47,6.58,37.73,40,Female,5,4,2,2025
100099,11500,247771,Electronics,823.81,0.0,1,COD,4,South,No,823.81,8.88,89.98,32,Female,5,3,8,2025
100100,14798,236240,Sports,17.35,0.1,1,Debit Card,5,West,Yes,15.62,4.69,-0.0,41,Male,2,1,25,2025
100101,16545,215847,Home,37.39,0.2,1,Credit Card,5,North,No,29.91,3.68,4.69,49,Male,2,1,4,2025
100102,16873,223547,Fashion,23.33,0.0,5,Credit Card,5,Central,No,116.65,7.12,33.71,38,Male,5,4,2,2025
100103,15675,206575,Toys,36.89,0.15,1,Credit Card,6,East,No,31.36,3.99,8.55,47,Female,11,4,29,2024
100104,10161,230123,Home,239.28,0.2,1,Credit Card,4,South,No,191.42,8.6,45.0,69,Male,11,3,14,2024
100105,14297,204843,Home,36.94,0.0,1,COD,7,South,No,36.94,5.01,5.33,49,Male,10,0,23,2023
100106,11981,227451,Toys,16.98,0.0,2,Credit Card,4,North,No,33.96,4.16,9.42,19,Male,11,3,21,2024
100107,10995,207739,Home,101.74,0.0,2,Wallet,6,East,No,203.48,7.89,49.08,54,Female,6,5,8,2024
100108,16413,214852,Toys,12.52,0.2,1,Credit Card,3,North,No,10.02,2.22,1.79,51,Male,7,3,11,2024
100109,14911,249092,Home,111.08,0.0,1,Debit Card,5,North,No,111.08,7.66,23.44,39,Male,8,1,6,2024
100110,13342,209157,Fashion,22.03,0.05,3,COD,8,East,No,62.79,5.86,16.12,50,Female,12,5,23,2023
100111,14551,222406,Beauty,21.58,0.05,3,UPI,3,North,No,61.5,5.64,22.04,60,Male,12,0,4,2023
100112,17629,247284,Fashion,61.89,0.05,1,COD,4,South,No,58.8,7.65,12.93,28,Male,1,1,21,2025
100113,13798,245200,Electronics,70.98,0.0,2,UPI,4,West,No,141.96,6.85,10.19,46,Female,8,4,8,2025
100114,11275,207432,Electronics,1161.68,0.0,1,Credit Card,4,South,No,1161.68,7.91,131.49,69,Female,10,1,29,2024
100115,11016,218837,Fashion,13.88,0.0,1,Debit Card,4,South,No,13.88,5.31,-0.45,63,Male,5,2,7,2025
100116,17869,215148,Sports,53.93,0.0,1,Debit Card,5,North,No,53.93,5.21,10.97,57,Female,6,1,3,2025
100117,16439,211194,Toys,14.51,0.0,1,Credit Card,5,East,No,14.51,4.15,1.65,48,Male,8,0,4,2025
100118,17892,232591,Toys,2.82,0.2,3,Credit Card,5,West,No,6.77,3.43,-0.72,24,Other,5,1,6,2025
100119,16863,214819,Fashion,44.08,0.05,4,Wallet,8,Central,No,167.5,7.43,51.19,36,Female,11,6,12,2023
100120,17916,206625,Sports,210.6,0.1,1,Credit Card,4,South,No,189.54,9.21,47.65,66,Female,9,4,15,2023
100121,10337,207404,Fashion,118.71,0.0,1,COD,3,North,No,118.71,6.57,34.98,61,Female,2,1,4,2025
100122,10878,214674,Beauty,12.67,0.0,2,PayPal,6,South,No,25.34,3.95,7.45,42,Male,1,0,20,2025
100123,11076,210507,Grocery,11.77,0.2,1,COD,7,East,No,9.42,1.0,-0.25,48,Female,4,6,6,2025
100124,14887,220387,Electronics,537.39,0.15,1,PayPal,4,Central,Yes,456.78,9.4,45.41,28,Female,2,4,16,2024
100125,13993,218697,Grocery,4.84,0.0,1,COD,6,South,No,4.84,1.46,-1.07,33,Female,11,5,18,2023
100126,16360,237391,Toys,16.78,0.0,2,Credit Card,4,South,Yes,33.56,5.18,8.24,34,Female,10,2,2,2024
100127,14859,219547,Toys,10.98,0.0,1,Debit Card,5,South,No,10.98,1.74,2.65,23,Female,1,3,30,2025
100128,16331,223570,Sports,56.72,0.0,2,COD,6,East,No,113.44,8.53,25.5,38,Male,2,0,26,2024
100129,10379,239783,Toys,3.94,0.05,1,Credit Card,5,Central,No,3.74,1.52,-0.02,62,Male,6,0,9,2025
100130,10492,228037,Grocery,7.88,0.2,1,Credit Card,7,South,No,6.3,2.16,-1.66,27,Female,2,2,12,2025
100131,17208,230083,Toys,5.45,0.0,3,Wallet,4,South,No,16.35,4.57,1.97,25,Female,9,1,2,2025
100132,15276,248029,Fashion,22.63,0.1,1,Credit Card,7,East,No,20.37,3.95,3.18,65,Male,6,3,6,2024
100133,12062,240550,Beauty,12.82,0.0,1,Credit Card,4,Central,No,12.82,3.74,2.03,18,Male,4,1,16,2024
100134,13884,237982,Fashion,32.69,0.15,1,UPI,6,South,No,27.79,7.19,2.54,21,Male,7,1,16,2024
100135,10064,239706,Grocery,33.76,0.0,2,UPI,6,South,No,67.52,5.44,-0.04,41,Female,7,4,26,2024
100136,12568,202988,Grocery,14.13,0.0,2,COD,5,Central,No,28.26,5.99,-3.73,58,Female,5,1,13,2025
100137,15463,205156,Beauty,92.86,0.0,1,Credit Card,5,South,No,92.86,7.23,34.56,51,Female,4,3,3,2025
100138,15248,238280,Toys,19.57,0.05,1,PayPal,6,South,No,18.59,5.17,2.27,40,Male,8,1,6,2024
100139,12027,209788,Grocery,22.56,0.05,1,Debit Card,3,North,No,21.43,5.71,-4.0,43,Female,11,1,21,2023
100140,12695,214185,Fashion,93.34,0.05,2,UPI,5,Central,No,177.35,6.54,55.53,46,Female,3,1,5,2024
100141,11495,218734,Beauty,35.91,0.1,1,Debit Card,5,North,No,32.32,5.16,9.38,49,Female,12,1,19,2023
100142,17230,209971,Home,155.94,0.0,1,PayPal,4,Central,No,155.94,7.4,36.26,43,Female,9,2,27,2023
100143,15258,243408,Toys,12.64,0.1,2,PayPal,7,North,No,22.75,4.33,4.77,52,Female,2,3,13,2025
100144,15618,206487,Home,120.29,0.0,1,COD,5,West,No,120.29,7.36,26.32,31,Male,2,5,24,2024
100145,16736,220997,Sports,31.17,0.1,1,COD,4,West,No,28.05,6.92,1.49,38,Female,6,3,6,2024
100146,10391,246456,Home,136.79,0.1,1,Credit Card,4,West,No,123.11,6.32,28.15,37,Female,12,0,11,2023
100147,15794,212452,Electronics,284.7,0.0,1,Wallet,6,North,No,284.7,9.1,25.06,50,Female,10,2,16,2024
100148,14514,215372,Electronics,580.17,0.0,2,Debit Card,4,West,No,1160.34,9.05,130.19,36,Female,2,3,20,2025
100149,16432,244767,Electronics,806.71,0.0,4,UPI,6,East,No,3226.84,11.85,375.37,19,Female,12,1,19,2023
100150,14474,213434,Electronics,96.31,0.0,4,UPI,7,East,No,385.24,9.61,36.62,38,Female,12,2,4,2024
100151,15892,212416,Beauty,31.77,0.0,5,COD,5,South,No,158.85,7.94,63.54,19,Female,7,4,11,2025
100152,13561,219248,Sports,304.67,0.0,2,UPI,5,South,No,609.34,9.29,173.51,58,Female,7,5,5,2025
100153,12278,246713,Electronics,862.36,0.0,1,PayPal,3,North,No,862.36,10.06,93.42,31,Female,1,1,2,2024
100154,17161,228194,Beauty,47.06,0.05,1,Debit Card,3,Central,No,44.71,5.76,14.36,24,Male,3,6,17,2024
100155,16184,233785,Beauty,4.21,0.0,1,COD,3,North,No,4.21,2.28,-0.39,25,Female,12,2,4,2024
100156,13099,237458,Electronics,144.57,0.0,2,Debit Card,3,North,No,289.14,8.7,26.0,63,Male,11,3,14,2024
100157,16278,208373,Home,31.13,0.0,1,Credit Card,3,North,No,31.13,3.29,5.43,28,Male,9,0,18,2023
100158,10200,230283,Sports,267.28,0.2,1,PayPal,4,Central,No,213.82,7.25,56.9,52,Male,2,4,28,2025
100159,15959,229415,Electronics,499.11,0.05,1,Credit Card,4,Central,No,474.15,8.66,48.24,45,Male,7,0,14,2025
100160,14875,226414,Electronics,296.62,0.2,2,Wallet,4,North,No,474.59,8.71,48.24,36,Female,2,1,27,2024
100161,17073,214378,Grocery,52.12,0.0,1,COD,4,South,No,52.12,6.56,-2.39,50,Female,7,2,9,2025
100162,13104,218336,Sports,31.3,0.0,1,Credit Card,4,West,No,31.3,4.71,4.68,32,Male,1,0,1,2024
100163,17215,204700,Home,145.09,0.1,1,Debit Card,3,Central,No,130.58,8.51,28.05,38,Male,11,6,10,2024
100164,14598,213901,Beauty,26.03,0.0,1,Debit Card,4,West,No,26.03,7.52,4.19,44,Male,4,0,8,2024
100165,12454,224838,Toys,10.19,0.2,1,Credit Card,6,West,No,8.15,3.7,-0.44,21,Male,2,0,12,2024
100166,13645,222597,Toys,15.07,0.0,3,UPI,3,Central,No,45.21,6.94,11.14,26,Male,9,0,9,2024
100167,15847,233428,Fashion,18.2,0.05,2,PayPal,6,West,No,34.58,5.84,6.26,22,Female,4,5,26,2025
100168,10804,240149,Home,158.84,0.1,1,Credit Card,4,West,No,142.96,6.88,33.15,67,Female,10,6,15,2023
100169,16242,235687,Beauty,16.27,0.0,2,Debit Card,5,South,No,32.54,4.52,10.12,39,Female,7,4,18,2025
100170,12731,229493,Electronics,57.75,0.0,1,UPI,6,West,No,57.75,6.46,0.47,24,Male,4,1,9,2024
100171,15991,231852,Grocery,40.65,0.0,1,PayPal,3,Central,No,40.65,4.89,-1.64,42,Female,9,2,3,2025
100172,12773,210932,Home,101.64,0.05,2,Wallet,6,East,No,193.12,8.34,45.73,51,Female,9,1,10,2024
100173,11570,223009,Home,171.02,0.0,1,UPI,3,Central,No,171.02,8.52,39.37,43,Male,7,6,27,2025
100174,15056,233583,Grocery,3.89,0.05,2,UPI,4,Central,No,7.39,4.18,-3.59,55,Female,8,4,9,2024
100175,17906,247278,Electronics,94.23,0.0,2,Debit Card,6,East,No,188.46,6.66,15.96,20,Male,9,2,27,2023
100176,16756,227994,Electronics,806.31,0.1,3,Credit Card,6,South,No,2177.04,9.81,251.43,45,Male,9,5,6,2025
100177,15581,229865,Sports,97.9,0.05,1,UPI,3,North,No,93.0,7.45,20.45,50,Female,7,3,31,2025
100178,12690,212289,Home,99.52,0.0,1,UPI,7,West,No,99.52,8.19,19.68,50,Male,2,4,2,2024
100179,13840,228293,Toys,16.48,0.0,1,UPI,8,East,No,16.48,3.97,2.62,54,Female,12,3,28,2023
100180,11028,204734,Electronics,137.57,0.0,1,Wallet,5,West,No,137.57,8.34,8.17,39,Female,4,5,5,2025
100181,17385,220013,Home,331.04,0.0,1,Credit Card,4,North,No,331.04,6.99,85.7,34,Female,2,5,3,2024
100182,10502,235521,Fashion,16.85,0.0,2,PayPal,6,West,No,33.7,3.4,8.4,67,Female,11,1,5,2024
100183,16910,206505,Sports,26.91,0.0,1,Debit Card,4,North,No,26.91,2.99,5.08,37,Female,11,2,13,2024
100184,14493,244327,Fashion,135.78,0.1,1,COD,5,East,No,122.2,8.48,34.29,45,Male,11,6,10,2024
100185,10870,247673,Home,49.21,0.0,1,Credit Card,5,West,No,49.21,5.29,8.49,64,Female,10,1,8,2024
100186,16938,204685,Toys,41.02,0.0,2,Debit Card,4,North,No,82.04,6.87,25.95,45,Male,1,4,24,2025
100187,14488,249353,Grocery,20.5,0.0,2,COD,6,East,No,41.0,5.35,-2.07,40,Female,6,2,12,2024
100188,10206,218409,Sports,57.32,0.0,1,Credit Card,3,Central,No,57.32,7.37,9.83,56,Female,3,2,13,2024
100189,15134,219517,Home,48.58,0.0,2,Wallet,3,North,No,97.16,7.6,19.6,46,Female,11,5,4,2023
100190,15977,244533,Beauty,37.86,0.0,1,Credit Card,4,North,No,37.86,5.8,11.24,66,Female,9,5,14,2024
100191,17721,230475,Sports,99.51,0.05,2,Credit Card,3,North,No,189.07,8.19,48.53,22,Male,4,1,8,2025
100192,17035,236989,Toys,7.76,0.05,1,PayPal,5,West,No,7.37,3.72,-0.77,55,Female,12,1,31,2024
100193,11484,215327,Grocery,30.17,0.15,1,Credit Card,5,East,No,25.64,4.28,-2.23,29,Male,4,2,10,2024
100194,17858,203671,Grocery,17.81,0.2,1,Debit Card,5,Central,No,14.25,4.86,-3.72,62,Male,12,0,18,2023
100195,17742,204941,Toys,49.2,0.0,1,Credit Card,6,West,No,49.2,6.38,13.3,44,Female,8,5,10,2024
100196,10863,226372,Electronics,236.98,0.0,1,UPI,4,South,No,236.98,8.56,19.88,63,Male,8,4,1,2025
100197,12790,212466,Sports,23.49,0.0,1,Credit Card,4,West,No,23.49,4.42,2.63,42,Male,1,4,24,2025
100198,17408,218286,Toys,52.7,0.0,1,Credit Card,5,West,No,52.7,7.0,14.08,35,Male,6,0,30,2025
100199,10563,244959,Toys,20.09,0.05,3,Credit Card,6,East,No,57.26,7.4,15.5,32,Male,5,5,24,2025
100200,15116,204588,Grocery,13.27,0.0,4,COD,5,Central,No,53.08,4.7,-0.45,40,Male,7,2,23,2025
100201,14191,228080,Home,125.56,0.0,1,UPI,5,North,No,125.56,7.14,28.02,21,Male,11,4,22,2024
100202,16019,224544,Sports,72.87,0.0,1,Debit Card,6,East,No,72.87,7.84,14.02,18,Female,10,4,13,2023
100203,11757,210811,Electronics,145.69,0.0,2,Credit Card,7,Central,No,291.38,8.39,26.58,41,Female,4,4,18,2025
100204,16628,218733,Beauty,26.26,0.2,1,Debit Card,5,South,No,21.01,4.51,4.94,24,Male,12,0,16,2024
100205,17574,240696,Home,176.95,0.2,1,Wallet,6,East,No,141.56,7.16,32.48,18,Female,1,2,3,2024
100206,16374,248093,Grocery,33.7,0.0,1,COD,5,East,No,33.7,6.42,-3.72,36,Male,9,2,25,2024
100207,16892,239888,Grocery,1.99,0.0,4,Debit Card,4,Central,No,7.96,1.92,-1.28,25,Male,4,0,21,2025
100208,11678,247042,Toys,7.78,0.05,1,Debit Card,3,North,No,7.39,1.92,1.04,65,Male,6,6,23,2024
100209,13242,230059,Electronics,537.23,0.0,1,COD,3,North,No,537.23,9.75,54.72,68,Female,9,5,16,2023
100210,14636,237487,Home,206.49,0.0,1,Credit Card,7,East,No,206.49,10.12,47.7,35,Male,11,4,8,2024
100211,11059,240849,Sports,33.43,0.0,1,Credit Card,5,North,No,33.43,6.41,3.62,36,Female,12,4,22,2023
100212,16668,214550,Electronics,116.37,0.05,3,UPI,8,East,No,331.65,8.23,31.57,56,Male,12,3,28,2023
100213,15279,249122,Fashion,27.49,0.0,2,UPI,6,East,No,54.98,6.08,13.16,59,Male,12,4,22,2023
100214,11722,210864,Grocery,1.86,0.0,2,Credit Card,3,Central,No,3.72,3.06,-2.76,32,Male,5,0,6,2024
100215,13314,225394,Electronics,475.97,0.0,1,Credit Card,4,West,No,475.97,7.92,49.2,18,Male,1,1,14,2025
100216,13157,219061,Electronics,410.13,0.0,1,Debit Card,4,North,No,410.13,8.95,40.27,48,Female,5,5,11,2024
100217,15915,249699,Beauty,50.95,0.3,1,Debit Card,6,East,No,35.66,6.4,9.65,24,Female,5,3,16,2024
100218,12625,212624,Grocery,8.4,0.05,5,UPI,4,South,No,39.9,6.54,-3.35,39,Male,2,5,3,2024
100219,12729,224934,Toys,21.91,0.0,1,Debit Card,4,North,No,21.91,3.83,4.93,48,Male,5,2,21,2025
100220,16700,203361,Grocery,41.53,0.2,1,Credit Card,3,North,No,33.22,4.47,-1.81,48,Male,11,4,24,2023
100221,11597,213707,Sports,323.62,0.0,1,Credit Card,5,East,No,323.62,10.29,86.8,57,Male,6,2,18,2025
100222,13060,201924,Home,19.71,0.0,1,UPI,6,South,No,19.71,4.96,0.56,55,Male,8,3,15,2024
100223,12693,229487,Grocery,1.02,0.0,1,Credit Card,5,East,No,1.02,2.2,-2.12,20,Male,5,5,25,2024
100224,14891,212647,Home,433.77,0.0,1,Credit Card,3,Central,Yes,433.77,7.22,114.24,43,Male,6,3,26,2025
100225,15147,231734,Fashion,42.68,0.05,1,Wallet,5,West,No,40.55,5.77,8.42,48,Female,3,1,5,2024
